,survived,pclass,sex,sibsp,parch,fare,class,who,adult_male,alive,alone
47,1,3,female,0,0,7.75,Third,woman,False,yes,True
48,0,3,male,2,0,21.6792,Third,man,True,no,False
49,0,3,female,1,0,17.8,Third,woman,False,no,False
50,0,3,male,4,1,39.6875,Third,child,False,no,False
51,0,3,male,0,0,7.8,Third,man,True,no,True
52,1,1,female,1,0,76.7292,First,woman,False,yes,False
53,1,2,female,1,0,26.0,Second,woman,False,yes,False
54,0,1,male,0,1,61.9792,First,man,True,no,False
55,1,1,male,0,0,35.5,First,man,True,yes,True
56,1,2,female,0,0,10.5,Second,woman,False,yes,True
57,0,3,male,0,0,7.2292,Third,man,True,no,True
58,1,2,female,1,2,27.75,Second,child,False,yes,False
59,0,3,male,5,2,46.9,Third,child,False,no,False
60,0,3,male,0,0,7.2292,Third,man,True,no,True
61,1,1,female,0,0,80.0,First,woman,False,yes,True
62,0,1,male,1,0,83.475,First,man,True,no,False
63,0,3,male,3,2,27.9,Third,child,False,no,False
64,0,1,male,0,0,27.7208,First,man,True,no,True
65,1,3,male,1,1,15.2458,Third,man,True,yes,False
66,1,2,female,0,0,10.5,Second,woman,False,yes,True
67,0,3,male,0,0,8.1583,Third,man,True,no,True
68,1,3,female,4,2,7.925,Third,woman,False,yes,False
69,0,3,male,2,0,8.6625,Third,man,True,no,False
70,0,2,male,0,0,10.5,Second,man,True,no,True
71,0,3,female,5,2,46.9,Third,woman,False,no,False
72,0,2,male,0,0,73.5,Second,man,True,no,True
73,0,3,male,1,0,14.4542,Third,man,True,no,False
74,1,3,male,0,0,56.4958,Third,man,True,yes,True
75,0,3,male,0,0,7.65,Third,man,True,no,True
76,0,3,male,0,0,7.8958,Third,man,True,no,True
77,0,3,male,0,0,8.05,Third,man,True,no,True
78,1,2,male,0,2,29.0,Second,child,False,yes,False
79,1,3,female,0,0,12.475,Third,woman,False,yes,True
80,0,3,male,0,0,9.0,Third,man,True,no,True
81,1,3,male,0,0,9.5,Third,man,True,yes,True
82,1,3,female,0,0,7.7875,Third,woman,False,yes,True
83,0,1,male,0,0,47.1,First,man,True,no,True
84,1,2,female,0,0,10.5,Second,woman,False,yes,True
85,1,3,female,3,0,15.85,Third,woman,False,yes,False
86,0,3,male,1,3,34.375,Third,man,True,no,False
87,0,3,male,0,0,8.05,Third,man,True,no,True
88,1,1,female,3,2,263.0,First,woman,False,yes,False
89,0,3,male,0,0,8.05,Third,man,True,no,True
90,0,3,male,0,0,8.05,Third,man,True,no,True
91,0,3,male,0,0,7.8542,Third,man,True,no,True
92,0,1,male,1,0,61.175,First,man,True,no,False
93,0,3,male,1,2,20.575,Third,man,True,no,False
94,0,3,male,0,0,7.25,Third,man,True,no,True
95,0,3,male,0,0,8.05,Third,man,True,no,True
96,0,1,male,0,0,34.6542,First,man,True,no,True
97,1,1,male,0,1,63.3583,First,man,True,yes,False
98,1,2,female,0,1,23.0,Second,woman,False,yes,False
99,0,2,male,1,0,26.0,Second,man,True,no,False
100,0,3,female,0,0,7.8958,Third,woman,False,no,True
101,0,3,male,0,0,7.8958,Third,man,True,no,True
102,0,1,male,0,1,77.2875,First,man,True,no,False
103,0,3,male,0,0,8.6542,Third,man,True,no,True
104,0,3,male,2,0,7.925,Third,man,True,no,False
105,0,3,male,0,0,7.8958,Third,man,True,no,True
106,1,3,female,0,0,7.65,Third,woman,False,yes,True
107,1,3,male,0,0,7.775,Third,man,True,yes,True
108,0,3,male,0,0,7.8958,Third,man,True,no,True
109,1,3,female,1,0,24.15,Third,woman,False,yes,False
110,0,1,male,0,0,52.0,First,man,True,no,True
111,0,3,female,1,0,14.4542,Third,child,False,no,False
112,0,3,male,0,0,8.05,Third,man,True,no,True
113,0,3,female,1,0,9.825,Third,woman,False,no,False
114,0,3,female,0,0,14.4583,Third,woman,False,no,True
115,0,3,male,0,0,7.925,Third,man,True,no,True
116,0,3,male,0,0,7.75,Third,man,True,no,True
117,0,2,male,1,0,21.0,Second,man,True,no,False
118,0,1,male,0,1,247.5208,First,man,True,no,False
119,0,3,female,4,2,31.275,Third,child,False,no,False
120,0,2,male,2,0,73.5,Second,man,True,no,False
121,0,3,male,0,0,8.05,Third,man,True,no,True
122,0,2,male,1,0,30.0708,Second,man,True,no,False
123,1,2,female,0,0,13.0,Second,woman,False,yes,True
124,0,1,male,0,1,77.2875,First,man,True,no,False
125,1,3,male,1,0,11.2417,Third,child,False,yes,False
126,0,3,male,0,0,7.75,Third,man,True,no,True
127,1,3,male,0,0,7.1417,Third,man,True,yes,True
128,1,3,female,1,1,22.3583,Third,woman,False,yes,False
129,0,3,male,0,0,6.975,Third,man,True,no,True
130,0,3,male,0,0,7.8958,Third,man,True,no,True
131,0,3,male,0,0,7.05,Third,man,True,no,True
132,0,3,female,1,0,14.5,Third,woman,False,no,False
133,1,2,female,1,0,26.0,Second,woman,False,yes,False
134,0,2,male,0,0,13.0,Second,man,True,no,True
135,0,2,male,0,0,15.0458,Second,man,True,no,True
136,1,1,female,0,2,26.2833,First,woman,False,yes,False
137,0,1,male,1,0,53.1,First,man,True,no,False
138,0,3,male,0,0,9.2167,Third,man,True,no,True
139,0,1,male,0,0,79.2,First,man,True,no,True
140,0,3,female,0,2,15.2458,Third,woman,False,no,False
141,1,3,female,0,0,7.75,Third,woman,False,yes,True
142,1,3,female,1,0,15.85,Third,woman,False,yes,False
143,0,3,male,0,0,6.75,Third,man,True,no,True
144,0,2,male,0,0,11.5,Second,man,True,no,True
145,0,2,male,1,1,36.75,Second,man,True,no,False
146,1,3,male,0,0,7.7958,Third,man,True,yes,True
147,0,3,female,2,2,34.375,Third,child,False,no,False
148,0,2,male,0,2,26.0,Second,man,True,no,False
149,0,2,male,0,0,13.0,Second,man,True,no,True
150,0,2,male,0,0,12.525,Second,man,True,no,True
151,1,1,female,1,0,66.6,First,woman,False,yes,False
152,0,3,male,0,0,8.05,Third,man,True,no,True
153,0,3,male,0,2,14.5,Third,man,True,no,False
154,0,3,male,0,0,7.3125,Third,man,True,no,True
155,0,1,male,0,1,61.3792,First,man,True,no,False
156,1,3,female,0,0,7.7333,Third,woman,False,yes,True
157,0,3,male,0,0,8.05,Third,man,True,no,True
158,0,3,male,0,0,8.6625,Third,man,True,no,True
159,0,3,male,8,2,69.55,Third,man,True,no,False
160,0,3,male,0,1,16.1,Third,man,True,no,False
161,1,2,female,0,0,15.75,Second,woman,False,yes,True
162,0,3,male,0,0,7.775,Third,man,True,no,True
163,0,3,male,0,0,8.6625,Third,man,True,no,True
164,0,3,male,4,1,39.6875,Third,child,False,no,False
165,1,3,male,0,2,20.525,Third,child,False,yes,False
166,1,1,female,0,1,55.0,First,woman,False,yes,False
167,0,3,female,1,4,27.9,Third,woman,False,no,False
168,0,1,male,0,0,25.925,First,man,True,no,True
169,0,3,male,0,0,56.4958,Third,man,True,no,True
170,0,1,male,0,0,33.5,First,man,True,no,True
171,0,3,male,4,1,29.125,Third,child,False,no,False
172,1,3,female,1,1,11.1333,Third,child,False,yes,False
173,0,3,male,0,0,7.925,Third,man,True,no,True
174,0,1,male,0,0,30.6958,First,man,True,no,True
175,0,3,male,1,1,7.8542,Third,man,True,no,False
176,0,3,male,3,1,25.4667,Third,man,True,no,False
177,0,1,female,0,0,28.7125,First,woman,False,no,True
178,0,2,male,0,0,13.0,Second,man,True,no,True
179,0,3,male,0,0,0.0,Third,man,True,no,True
180,0,3,female,8,2,69.55,Third,woman,False,no,False
181,0,2,male,0,0,15.05,Second,man,True,no,True
182,0,3,male,4,2,31.3875,Third,child,False,no,False
183,1,2,male,2,1,39.0,Second,child,False,yes,False
184,1,3,female,0,2,22.025,Third,child,False,yes,False
185,0,1,male,0,0,50.0,First,man,True,no,True
186,1,3,female,1,0,15.5,Third,woman,False,yes,False
187,1,1,male,0,0,26.55,First,man,True,yes,True
188,0,3,male,1,1,15.5,Third,man,True,no,False
189,0,3,male,0,0,7.8958,Third,man,True,no,True
190,1,2,female,0,0,13.0,Second,woman,False,yes,True
191,0,2,male,0,0,13.0,Second,man,True,no,True
192,1,3,female,1,0,7.8542,Third,woman,False,yes,False
193,1,2,male,1,1,26.0,Second,child,False,yes,False
194,1,1,female,0,0,27.7208,First,woman,False,yes,True
195,1,1,female,0,0,146.5208,First,woman,False,yes,True
196,0,3,male,0,0,7.75,Third,man,True,no,True
197,0,3,male,0,1,8.4042,Third,man,True,no,False
198,1,3,female,0,0,7.75,Third,woman,False,yes,True
199,0,2,female,0,0,13.0,Second,woman,False,no,True
200,0,3,male,0,0,9.5,Third,man,True,no,True
201,0,3,male,8,2,69.55,Third,man,True,no,False
202,0,3,male,0,0,6.4958,Third,man,True,no,True
203,0,3,male,0,0,7.225,Third,man,True,no,True
204,1,3,male,0,0,8.05,Third,man,True,yes,True
205,0,3,female,0,1,10.4625,Third,child,False,no,False
206,0,3,male,1,0,15.85,Third,man,True,no,False
207,1,3,male,0,0,18.7875,Third,man,True,yes,True
208,1,3,female,0,0,7.75,Third,woman,False,yes,True
209,1,1,male,0,0,31.0,First,man,True,yes,True
210,0,3,male,0,0,7.05,Third,man,True,no,True
211,1,2,female,0,0,21.0,Second,woman,False,yes,True
212,0,3,male,0,0,7.25,Third,man,True,no,True
213,0,2,male,0,0,13.0,Second,man,True,no,True
214,0,3,male,1,0,7.75,Third,man,True,no,False
215,1,1,female,1,0,113.275,First,woman,False,yes,False
216,1,3,female,0,0,7.925,Third,woman,False,yes,True
217,0,2,male,1,0,27.0,Second,man,True,no,False
218,1,1,female,0,0,76.2917,First,woman,False,yes,True
219,0,2,male,0,0,10.5,Second,man,True,no,True
220,1,3,male,0,0,8.05,Third,man,True,yes,True
221,0,2,male,0,0,13.0,Second,man,True,no,True
222,0,3,male,0,0,8.05,Third,man,True,no,True
223,0,3,male,0,0,7.8958,Third,man,True,no,True
224,1,1,male,1,0,90.0,First,man,True,yes,False
225,0,3,male,0,0,9.35,Third,man,True,no,True
226,1,2,male,0,0,10.5,Second,man,True,yes,True
227,0,3,male,0,0,7.25,Third,man,True,no,True
228,0,2,male,0,0,13.0,Second,man,True,no,True
229,0,3,female,3,1,25.4667,Third,woman,False,no,False
230,1,1,female,1,0,83.475,First,woman,False,yes,False
231,0,3,male,0,0,7.775,Third,man,True,no,True
232,0,2,male,0,0,13.5,Second,man,True,no,True
233,1,3,female,4,2,31.3875,Third,child,False,yes,False
234,0,2,male,0,0,10.5,Second,man,True,no,True
235,0,3,female,0,0,7.55,Third,woman,False,no,True
236,0,2,male,1,0,26.0,Second,man,True,no,False
237,1,2,female,0,2,26.25,Second,child,False,yes,False
238,0,2,male,0,0,10.5,Second,man,True,no,True
239,0,2,male,0,0,12.275,Second,man,True,no,True
240,0,3,female,1,0,14.4542,Third,woman,False,no,False
241,1,3,female,1,0,15.5,Third,woman,False,yes,False
242,0,2,male,0,0,10.5,Second,man,True,no,True
243,0,3,male,0,0,7.125,Third,man,True,no,True
244,0,3,male,0,0,7.225,Third,man,True,no,True
245,0,1,male,2,0,90.0,First,man,True,no,False
246,0,3,female,0,0,7.775,Third,woman,False,no,True
247,1,2,female,0,2,14.5,Second,woman,False,yes,False
248,1,1,male,1,1,52.5542,First,man,True,yes,False
249,0,2,male,1,0,26.0,Second,man,True,no,False
250,0,3,male,0,0,7.25,Third,man,True,no,True
251,0,3,female,1,1,10.4625,Third,woman,False,no,False
252,0,1,male,0,0,26.55,First,man,True,no,True
253,0,3,male,1,0,16.1,Third,man,True,no,False
254,0,3,female,0,2,20.2125,Third,woman,False,no,False
255,1,3,female,0,2,15.2458,Third,woman,False,yes,False
256,1,1,female,0,0,79.2,First,woman,False,yes,True
257,1,1,female,0,0,86.5,First,woman,False,yes,True
258,1,1,female,0,0,512.3292,First,woman,False,yes,True
259,1,2,female,0,1,26.0,Second,woman,False,yes,False
260,0,3,male,0,0,7.75,Third,man,True,no,True
261,1,3,male,4,2,31.3875,Third,child,False,yes,False
262,0,1,male,1,1,79.65,First,man,True,no,False
263,0,1,male,0,0,0.0,First,man,True,no,True
264,0,3,female,0,0,7.75,Third,woman,False,no,True
265,0,2,male,0,0,10.5,Second,man,True,no,True
266,0,3,male,4,1,39.6875,Third,man,True,no,False
267,1,3,male,1,0,7.775,Third,man,True,yes,False
268,1,1,female,0,1,153.4625,First,woman,False,yes,False
269,1,1,female,0,0,135.6333,First,woman,False,yes,True
270,0,1,male,0,0,31.0,First,man,True,no,True
271,1,3,male,0,0,0.0,Third,man,True,yes,True
272,1,2,female,0,1,19.5,Second,woman,False,yes,False
273,0,1,male,0,1,29.7,First,man,True,no,False
274,1,3,female,0,0,7.75,Third,woman,False,yes,True
275,1,1,female,1,0,77.9583,First,woman,False,yes,False
276,0,3,female,0,0,7.75,Third,woman,False,no,True
277,0,2,male,0,0,0.0,Second,man,True,no,True
278,0,3,male,4,1,29.125,Third,child,False,no,False
279,1,3,female,1,1,20.25,Third,woman,False,yes,False
280,0,3,male,0,0,7.75,Third,man,True,no,True
281,0,3,male,0,0,7.8542,Third,man,True,no,True
282,0,3,male,0,0,9.5,Third,man,True,no,True
283,1,3,male,0,0,8.05,Third,man,True,yes,True
284,0,1,male,0,0,26.0,First,man,True,no,True
285,0,3,male,0,0,8.6625,Third,man,True,no,True
286,1,3,male,0,0,9.5,Third,man,True,yes,True
287,0,3,male,0,0,7.8958,Third,man,True,no,True
288,1,2,male,0,0,13.0,Second,man,True,yes,True
289,1,3,female,0,0,7.75,Third,woman,False,yes,True
290,1,1,female,0,0,78.85,First,woman,False,yes,True
291,1,1,female,1,0,91.0792,First,woman,False,yes,False
292,0,2,male,0,0,12.875,Second,man,True,no,True
293,0,3,female,0,0,8.85,Third,woman,False,no,True
294,0,3,male,0,0,7.8958,Third,man,True,no,True
295,0,1,male,0,0,27.7208,First,man,True,no,True
296,0,3,male,0,0,7.2292,Third,man,True,no,True
297,0,1,female,1,2,151.55,First,child,False,no,False
298,1,1,male,0,0,30.5,First,man,True,yes,True
299,1,1,female,0,1,247.5208,First,woman,False,yes,False
300,1,3,female,0,0,7.75,Third,woman,False,yes,True
301,1,3,male,2,0,23.25,Third,man,True,yes,False
302,0,3,male,0,0,0.0,Third,man,True,no,True
303,1,2,female,0,0,12.35,Second,woman,False,yes,True
304,0,3,male,0,0,8.05,Third,man,True,no,True
305,1,1,male,1,2,151.55,First,child,False,yes,False
306,1,1,female,0,0,110.8833,First,woman,False,yes,True
307,1,1,female,1,0,108.9,First,woman,False,yes,False
308,0,2,male,1,0,24.0,Second,man,True,no,False
309,1,1,female,0,0,56.9292,First,woman,False,yes,True
310,1,1,female,0,0,83.1583,First,woman,False,yes,True
311,1,1,female,2,2,262.375,First,woman,False,yes,False
312,0,2,female,1,1,26.0,Second,woman,False,no,False
313,0,3,male,0,0,7.8958,Third,man,True,no,True
314,0,2,male,1,1,26.25,Second,man,True,no,False
315,1,3,female,0,0,7.8542,Third,woman,False,yes,True
316,1,2,female,1,0,26.0,Second,woman,False,yes,False
317,0,2,male,0,0,14.0,Second,man,True,no,True
318,1,1,female,0,2,164.8667,First,woman,False,yes,False
319,1,1,female,1,1,134.5,First,woman,False,yes,False
320,0,3,male,0,0,7.25,Third,man,True,no,True
321,0,3,male,0,0,7.8958,Third,man,True,no,True
322,1,2,female,0,0,12.35,Second,woman,False,yes,True
323,1,2,female,1,1,29.0,Second,woman,False,yes,False
324,0,3,male,8,2,69.55,Third,man,True,no,False
325,1,1,female,0,0,135.6333,First,woman,False,yes,True
326,0,3,male,0,0,6.2375,Third,man,True,no,True
327,1,2,female,0,0,13.0,Second,woman,False,yes,True
328,1,3,female,1,1,20.525,Third,woman,False,yes,False
329,1,1,female,0,1,57.9792,First,woman,False,yes,False
330,1,3,female,2,0,23.25,Third,woman,False,yes,False
331,0,1,male,0,0,28.5,First,man,True,no,True
332,0,1,male,0,1,153.4625,First,man,True,no,False
333,0,3,male,2,0,18.0,Third,man,True,no,False
334,1,1,female,1,0,133.65,First,woman,False,yes,False
335,0,3,male,0,0,7.8958,Third,man,True,no,True
336,0,1,male,1,0,66.6,First,man,True,no,False
337,1,1,female,0,0,134.5,First,woman,False,yes,True
338,1,3,male,0,0,8.05,Third,man,True,yes,True
339,0,1,male,0,0,35.5,First,man,True,no,True
340,1,2,male,1,1,26.0,Second,child,False,yes,False
341,1,1,female,3,2,263.0,First,woman,False,yes,False
342,0,2,male,0,0,13.0,Second,man,True,no,True
343,0,2,male,0,0,13.0,Second,man,True,no,True
344,0,2,male,0,0,13.0,Second,man,True,no,True
345,1,2,female,0,0,13.0,Second,woman,False,yes,True
346,1,2,female,0,0,13.0,Second,woman,False,yes,True
347,1,3,female,1,0,16.1,Third,woman,False,yes,False
348,1,3,male,1,1,15.9,Third,child,False,yes,False
349,0,3,male,0,0,8.6625,Third,man,True,no,True
350,0,3,male,0,0,9.225,Third,man,True,no,True
351,0,1,male,0,0,35.0,First,man,True,no,True
352,0,3,male,1,1,7.2292,Third,child,False,no,False
353,0,3,male,1,0,17.8,Third,man,True,no,False
354,0,3,male,0,0,7.225,Third,man,True,no,True
355,0,3,male,0,0,9.5,Third,man,True,no,True
356,1,1,female,0,1,55.0,First,woman,False,yes,False
357,0,2,female,0,0,13.0,Second,woman,False,no,True
358,1,3,female,0,0,7.8792,Third,woman,False,yes,True
359,1,3,female,0,0,7.8792,Third,woman,False,yes,True
360,0,3,male,1,4,27.9,Third,man,True,no,False
361,0,2,male,1,0,27.7208,Second,man,True,no,False
362,0,3,female,0,1,14.4542,Third,woman,False,no,False
363,0,3,male,0,0,7.05,Third,man,True,no,True
364,0,3,male,1,0,15.5,Third,man,True,no,False
365,0,3,male,0,0,7.25,Third,man,True,no,True
366,1,1,female,1,0,75.25,First,woman,False,yes,False
367,1,3,female,0,0,7.2292,Third,woman,False,yes,True
368,1,3,female,0,0,7.75,Third,woman,False,yes,True
369,1,1,female,0,0,69.3,First,woman,False,yes,True
370,1,1,male,1,0,55.4417,First,man,True,yes,False
371,0,3,male,1,0,6.4958,Third,man,True,no,False
372,0,3,male,0,0,8.05,Third,man,True,no,True
373,0,1,male,0,0,135.6333,First,man,True,no,True
374,0,3,female,3,1,21.075,Third,child,False,no,False
375,1,1,female,1,0,82.1708,First,woman,False,yes,False
376,1,3,female,0,0,7.25,Third,woman,False,yes,True
377,0,1,male,0,2,211.5,First,man,True,no,False
378,0,3,male,0,0,4.0125,Third,man,True,no,True
379,0,3,male,0,0,7.775,Third,man,True,no,True
380,1,1,female,0,0,227.525,First,woman,False,yes,True
381,1,3,female,0,2,15.7417,Third,child,False,yes,False
382,0,3,male,0,0,7.925,Third,man,True,no,True
383,1,1,female,1,0,52.0,First,woman,False,yes,False
384,0,3,male,0,0,7.8958,Third,man,True,no,True
385,0,2,male,0,0,73.5,Second,man,True,no,True
386,0,3,male,5,2,46.9,Third,child,False,no,False
387,1,2,female,0,0,13.0,Second,woman,False,yes,True
388,0,3,male,0,0,7.7292,Third,man,True,no,True
389,1,2,female,0,0,12.0,Second,woman,False,yes,True
390,1,1,male,1,2,120.0,First,man,True,yes,False
391,1,3,male,0,0,7.7958,Third,man,True,yes,True
392,0,3,male,2,0,7.925,Third,man,True,no,False
393,1,1,female,1,0,113.275,First,woman,False,yes,False
394,1,3,female,0,2,16.7,Third,woman,False,yes,False
395,0,3,male,0,0,7.7958,Third,man,True,no,True
396,0,3,female,0,0,7.8542,Third,woman,False,no,True
397,0,2,male,0,0,26.0,Second,man,True,no,True
398,0,2,male,0,0,10.5,Second,man,True,no,True
399,1,2,female,0,0,12.65,Second,woman,False,yes,True
400,1,3,male,0,0,7.925,Third,man,True,yes,True
401,0,3,male,0,0,8.05,Third,man,True,no,True
402,0,3,female,1,0,9.825,Third,woman,False,no,False
403,0,3,male,1,0,15.85,Third,man,True,no,False
404,0,3,female,0,0,8.6625,Third,woman,False,no,True
405,0,2,male,1,0,21.0,Second,man,True,no,False
406,0,3,male,0,0,7.75,Third,man,True,no,True
407,1,2,male,1,1,18.75,Second,child,False,yes,False
408,0,3,male,0,0,7.775,Third,man,True,no,True
409,0,3,female,3,1,25.4667,Third,woman,False,no,False
410,0,3,male,0,0,7.8958,Third,man,True,no,True
411,0,3,male,0,0,6.8583,Third,man,True,no,True
412,1,1,female,1,0,90.0,First,woman,False,yes,False
413,0,2,male,0,0,0.0,Second,man,True,no,True
414,1,3,male,0,0,7.925,Third,man,True,yes,True
415,0,3,female,0,0,8.05,Third,woman,False,no,True
416,1,2,female,1,1,32.5,Second,woman,False,yes,False
417,1,2,female,0,2,13.0,Second,woman,False,yes,False
418,0,2,male,0,0,13.0,Second,man,True,no,True
419,0,3,female,0,2,24.15,Third,child,False,no,False
420,0,3,male,0,0,7.8958,Third,man,True,no,True
421,0,3,male,0,0,7.7333,Third,man,True,no,True
422,0,3,male,0,0,7.875,Third,man,True,no,True
423,0,3,female,1,1,14.4,Third,woman,False,no,False
424,0,3,male,1,1,20.2125,Third,man,True,no,False
425,0,3,male,0,0,7.25,Third,man,True,no,True
426,1,2,female,1,0,26.0,Second,woman,False,yes,False
427,1,2,female,0,0,26.0,Second,woman,False,yes,True
428,0,3,male,0,0,7.75,Third,man,True,no,True
429,1,3,male,0,0,8.05,Third,man,True,yes,True
430,1,1,male,0,0,26.55,First,man,True,yes,True
431,1,3,female,1,0,16.1,Third,woman,False,yes,False
432,1,2,female,1,0,26.0,Second,woman,False,yes,False
433,0,3,male,0,0,7.125,Third,man,True,no,True
434,0,1,male,1,0,55.9,First,man,True,no,False
435,1,1,female,1,2,120.0,First,child,False,yes,False
436,0,3,female,2,2,34.375,Third,woman,False,no,False
437,1,2,female,2,3,18.75,Second,woman,False,yes,False
438,0,1,male,1,4,263.0,First,man,True,no,False
439,0,2,male,0,0,10.5,Second,man,True,no,True
440,1,2,female,1,1,26.25,Second,woman,False,yes,False
441,0,3,male,0,0,9.5,Third,man,True,no,True
442,0,3,male,1,0,7.775,Third,man,True,no,False
443,1,2,female,0,0,13.0,Second,woman,False,yes,True
444,1,3,male,0,0,8.1125,Third,man,True,yes,True
445,1,1,male,0,2,81.8583,First,child,False,yes,False
446,1,2,female,0,1,19.5,Second,child,False,yes,False
447,1,1,male,0,0,26.55,First,man,True,yes,True
448,1,3,female,2,1,19.2583,Third,child,False,yes,False
449,1,1,male,0,0,30.5,First,man,True,yes,True
450,0,2,male,1,2,27.75,Second,man,True,no,False
451,0,3,male,1,0,19.9667,Third,man,True,no,False
452,0,1,male,0,0,27.75,First,man,True,no,True
453,1,1,male,1,0,89.1042,First,man,True,yes,False
454,0,3,male,0,0,8.05,Third,man,True,no,True
455,1,3,male,0,0,7.8958,Third,man,True,yes,True
456,0,1,male,0,0,26.55,First,man,True,no,True
457,1,1,female,1,0,51.8625,First,woman,False,yes,False
458,1,2,female,0,0,10.5,Second,woman,False,yes,True
459,0,3,male,0,0,7.75,Third,man,True,no,True
460,1,1,male,0,0,26.55,First,man,True,yes,True
461,0,3,male,0,0,8.05,Third,man,True,no,True
462,0,1,male,0,0,38.5,First,man,True,no,True
463,0,2,male,0,0,13.0,Second,man,True,no,True
464,0,3,male,0,0,8.05,Third,man,True,no,True
465,0,3,male,0,0,7.05,Third,man,True,no,True
466,0,2,male,0,0,0.0,Second,man,True,no,True
467,0,1,male,0,0,26.55,First,man,True,no,True
468,0,3,male,0,0,7.725,Third,man,True,no,True
469,1,3,female,2,1,19.2583,Third,child,False,yes,False
470,0,3,male,0,0,7.25,Third,man,True,no,True
471,0,3,male,0,0,8.6625,Third,man,True,no,True
472,1,2,female,1,2,27.75,Second,woman,False,yes,False
473,1,2,female,0,0,13.7917,Second,woman,False,yes,True
474,0,3,female,0,0,9.8375,Third,woman,False,no,True
475,0,1,male,0,0,52.0,First,man,True,no,True
476,0,2,male,1,0,21.0,Second,man,True,no,False
477,0,3,male,1,0,7.0458,Third,man,True,no,False
478,0,3,male,0,0,7.5208,Third,man,True,no,True
479,1,3,female,0,1,12.2875,Third,child,False,yes,False
480,0,3,male,5,2,46.9,Third,child,False,no,False
481,0,2,male,0,0,0.0,Second,man,True,no,True
482,0,3,male,0,0,8.05,Third,man,True,no,True
483,1,3,female,0,0,9.5875,Third,woman,False,yes,True
484,1,1,male,1,0,91.0792,First,man,True,yes,False
485,0,3,female,3,1,25.4667,Third,woman,False,no,False
486,1,1,female,1,0,90.0,First,woman,False,yes,False
487,0,1,male,0,0,29.7,First,man,True,no,True
488,0,3,male,0,0,8.05,Third,man,True,no,True
489,1,3,male,1,1,15.9,Third,child,False,yes,False
490,0,3,male,1,0,19.9667,Third,man,True,no,False
491,0,3,male,0,0,7.25,Third,man,True,no,True
492,0,1,male,0,0,30.5,First,man,True,no,True
493,0,1,male,0,0,49.5042,First,man,True,no,True
494,0,3,male,0,0,8.05,Third,man,True,no,True
495,0,3,male,0,0,14.4583,Third,man,True,no,True
496,1,1,female,1,0,78.2667,First,woman,False,yes,False
497,0,3,male,0,0,15.1,Third,man,True,no,True
498,0,1,female,1,2,151.55,First,woman,False,no,False
499,0,3,male,0,0,7.7958,Third,man,True,no,True
500,0,3,male,0,0,8.6625,Third,man,True,no,True
